t,SC_ECEF_x_km,SC_ECEF_y_km,SC_ECEF_z_km,elevation_degree,illuminated_boolean,
2021.04.16 17:50:38,-4175.29,1344.56,-5169.07,-51.3434,0,
2021.04.16 18:02:52,-3302.26,-3989.59,-4369,-62.4055,0,
2021.04.16 18:17:41,458.588,-6749.04,210.267,-57.7532,0,
2021.04.16 18:31:24,3640.5,-3643.91,4379.77,-42.4749,30,
2021.04.16 18:41:42,4151.16,893.702,5261.93,-31.6002,30,
2021.04.16 18:49:47,3160,4269.41,4190.96,-26.8389,30,
2021.04.16 18:56:56,1490.43,6231.01,2191.56,-27.2721,30,
2021.04.16 19:04:11,-553.129,6744.26,-353.333,-31.7587,30,
2021.04.16 19:12:17,-2658.82,5428.75,-3068.93,-39.2595,30,
2021.04.16 19:21:55,-4106.45,1846.82,-5068.42,-48.354,0,
2021.04.16 19:33:29,-3608.33,-3297.28,-4693.36,-55.2739,0,
2021.04.16 19:46:38,-554.17,-6670.77,-1012.56,-53.3831,0,
2021.04.16 19:59:20,2818.1,-5186.7,3300.2,-44.5047,30,
2021.04.16 20:10:04,4188.36,-961.921,5219.08,-36.9907,30,
2021.04.16 20:19:13,3666.08,3126.58,4747.21,-33.8003,30,
2021.04.16 20:27:44,1931.8,5905.2,2688.93,-34.7737,30,
2021.04.16 20:36:26,-484.981,6751.32,-315.078,-38.9226,30,
2021.04.16 20:46:00,-2921.6,5048.71,-3455.03,-44.7518,30,
2021.04.16 20:56:47,-4211.05,739.471,-5260.9,-49.6114,0,
2021.04.16 21:08:38,-3154.41,-4335.1,-4142.57,-49.7819,0,
2021.04.16 21:20:32,-150.922,-6751.57,-461.294,-44.8606,0,
2021.04.16 21:31:21,2715.19,-5301.16,3203.5,-39.3168,30,
2021.04.16 21:40:59,4114.96,-1635.91,5108.43,-36.5783,30,
2021.04.16 21:50:03,3874.95,2466.83,4963.79,-37.4544,30,
2021.04.16 21:59:18,2162.07,5706.6,2930.06,-41.4102,30,
2021.04.16 22:09:22,-611.039,6728.5,-522.413,-47.0005,30,
2021.04.16 22:20:39,-3334.53,4306.26,-4037.68,-51.17,30,
2021.04.16 22:32:51,-4163.67,-937.318,-5265.91,-49.6651,0,
2021.04.16 22:44:43,-2382.47,-5485.64,-3180.02,-42.7888,0,
2021.04.16 22:55:05,439.198,-6745.38,329.432,-35.8482,0,
2021.04.16 23:04:01,2753.28,-5226.66,3291.88,-32.2833,30,
2021.04.16 23:12:13,4022.48,-2155.32,4987.93,-32.9147,30,
2021.04.16 23:20:33,4061.04,1630.04,5155.4,-37.4353,30,
2021.04.16 23:29:48,2629.15,5187.05,3462.34,-45.0755,30,
2021.04.16 23:40:40,-272.365,6768.76,-142.568,-53.8815,30,
2021.04.16 23:53:29,-3393.27,4153.8,-4147.03,-57.5611,30,
2021.04.17 00:07:09,-4045.78,-1788.62,-5135.1,-49.2478,0,
2021.04.17 00:18:56,-1957.92,-5930.88,-2619.04,-36.7992,0,
2021.04.17 00:28:03,575.077,-6720.47,548.909,-27.9847,30,
2021.04.17 00:35:25,2509.3,-5509.48,3014.96,-24.4085,30,
2021.04.17 00:42:07,3741.46,-3214.21,4623.79,-25.824,30,
2021.04.17 00:49:06,4209.56,-131.2,5288.9,-31.5195,30,
2021.04.17 00:57:09,3595.77,3414.11,4601.32,-40.9812,30,
2021.04.17 01:07:08,1423.24,6331.61,1934.32,-53.6222,30,
2021.04.17 01:19:54,-2104.57,5932.45,-2515.76,-64.7916,30,
2021.04.17 01:35:18,-4220.33,146.642,-5302.85,-57.0068,0,
2021.04.17 01:48:50,-2581,-5292.07,-3349.29,-38.2949,0,
2021.04.17 01:58:16,-74.3657,-6764.57,-222.013,-24.6656,0,
2021.04.17 02:05:01,1800.15,-6156.27,2149.47,-17.2896,30,
2021.04.17 02:10:27,3053.88,-4722.8,3754.2,-15.7376,30,
