start_date,pass_duration_s,
2021.04.17 06:53:05,17,
2021.04.17 08:27:50,169,
2021.04.17 10:04:06,170,
2021.04.17 11:40:56,77,
2021.04.18 07:31:56,164,
2021.04.18 09:08:08,169,
2021.04.18 10:44:28,148,
2021.04.19 06:36:13,137,
2021.04.19 08:12:06,169,
2021.04.19 09:48:22,167,
2021.04.20 07:16:04,169,
2021.04.20 08:52:20,169,
2021.04.20 10:29:08,80,
2021.04.21 06:20:06,163,
2021.04.21 07:56:17,168,
2021.04.21 09:32:38,148,
2021.04.22 05:24:20,135,
2021.04.22 07:00:12,169,
2021.04.22 08:36:28,167,
2021.04.23 06:04:06,169,
2021.04.23 07:40:21,169,
2021.04.23 09:17:07,84,
2021.04.24 05:08:04,163,
2021.04.24 06:44:15,168,
2021.04.24 08:20:34,150,
2021.04.25 04:12:15,133,
2021.04.25 05:48:05,168,
2021.04.25 07:24:21,167,
2021.04.26 04:51:56,169,
2021.04.26 06:28:11,169,
2021.04.26 08:04:54,89,
